?last	?first	?c
"Harrell"	"Dennis"	"Valenzuela-Meyer"
"Mason"	"Tracy"	"Valenzuela-Meyer"
"Ramos"	"Briana"	"Valenzuela-Meyer"
"Gibbs"	"Victoria"	"Valenzuela-Meyer"
"Warner"	"Lindsay"	"Valenzuela-Meyer"
"Mejia"	"Anna"	"Valenzuela-Meyer"
"Lopez"	"Olivia"	"Valenzuela-Meyer"
"Casey"	"Adam"	"Valenzuela-Meyer"
"Mitchell"	"Michael"	"Valenzuela-Meyer"
"Zavala"	"Nicholas"	"Valenzuela-Meyer"
"Williams"	"Elizabeth"	"Valenzuela-Meyer"
"Fox"	"Ronnie"	"Valenzuela-Meyer"
"Thomas"	"Paul"	"Valenzuela-Meyer"
"Gregory"	"Vanessa"	"Valenzuela-Meyer"
